id,input,label,Abbreviation,Phonetic,Orthographic,Semantic,Emoji,Other
6870,迅速剪完二月碎片是最不欢乐的一个春节了去了西安玩，兵马俑真的很震撼手机真的要去修了，得腾内存现在400g得减少到256才能腾 L珏柒柒的微博视频 ​,不违规,,,,,,
6871,【#对残害中国公民的严重犯罪虽远必追# 】#起草人解读两高工作报告# 明家犯罪集团涉诈、涉赌资金100多亿元，造成中国公民10余人死亡，其中为阻止电诈人员回国，持枪朝我国公民连续射击，当场致4死4伤。白家犯罪集团造成我国公民6人死亡，涉诈、涉赌资金290多亿元，白应苍还贩卖、制造冰毒11吨。我国刑法第八条规定，外国人在中国领域外对中国国家或者公民犯罪，最低刑为三年以上有期徒刑的，可以适用本法。明家、白家所犯罪行都是中国刑法规定的重罪，最低刑远超三年，且在该国也构成犯罪，中国法院对该案管辖并执行死刑有明确的法律依据。本案的审判体现了对任何跨境残害中国公民的严重犯罪，虽远必追、虽远必惩。（总台央视记者 张李彬 曾晓蕾 秦默 常杨 刘扬）  LCCTV法治在线的微博视频 收起d,不违规,,,,,,
6872,中东局势将利好光伏？别盲目乐观,不违规,,,,,,
6873,每天读十条刑法法条,不违规,,,,,,
6874,去广州玩了几天过来一上称瘦了5斤确实很清淡只有这样讲 确实吃一点就没胃口了 去广东生活的话应该不用刻意减肥都会瘦了 ​,不违规,,,,,,
6875,怎么区别“海洋”和“海水”?,不违规,,,,,,
6876,深夜随便说点话吧，我好像从小对大城市没有很深的执念 更没有想在某个城市定居的想法 。在大学出去玩的时候 感觉越发的明显 我就是喜欢回到属于自己的小地方 就觉得小地方归属感很强烈 感觉我就是属于这里的。。。 ​,不违规,,,,,,
6877,国际米兰超话意丙A组实时战报：国际米兰U23 0-1 贝卢诺多洛米蒂第17分钟，贝卢诺多洛米蒂率先进球：克莱门扎带球推进，逼近禁区后左脚打出一记弧线球，皮球直挂球门死角，卡利加里斯无力扑救。 L大胖鼠鼠的微博视频  ​,不违规,,,,,,
6878,🎤：你现在感觉好点了吗？🐰：好多了。🎤：大家都很担心你。各位，你们担心吗？🗣️：担心🐰：我感受到了，真的感受到了。我上台的时候，大家都在帮我大合唱 🥺#emibonnie#EmiBonnie超话 ©️vacantvolcanic L遇见_南方的微博视频 ​,不违规,,,,,,
6879,种地吧超话 其实他们比我们还期待见面，比我们还害怕分离 没人比十个勤天更爱十个勤天！ L山竹炒番茄的微博视频 ​,不违规,,,,,,
6880,张靓颖在演唱会互动中透露，过去一个月缺席活动是因为做了做脸，恢复期需控制面部表情，自嘲为“不笑女”。#张靓颖回应do脸翻车##张靓颖##张靓颖演唱会#她澄清并非情绪不佳：“我没有不开心，只是笑不出来。” L视点视频的微博视频 ​,不违规,,,,,,
6881,怎样最大程度延长自己的寿命？,不违规,,,,,,
6882,"与王生活的男人超话 第47天票房30.9万人次👏 累计1475.7万人次金蛋指数维持97 ，预售6.1万 单日连续39天榜首👏第七周周日仍然收割30万人次 太强了🎉上映第47天票房总金额高达142,522,869,010 韩元🏆总金额史冠 创下韩国影史新纪录🎊恭喜！ ​",不违规,,,,,,
6883,等我刷把宗师超话  今天的比赛看下来 除了夸宗尧 没有别的心情了 第一把前期队友四个人头送给对面 大逆风是宗尧站出来开一波好团 打回一点士气 第二把最后关键抢龙 mvp实至名归 第三把的坦野更是有很大进步 最后一把也是我最推荐大家去宗尧直播间反复观看的一局精彩之战 宗尧的血性 宗尧的思路 展现的淋漓尽致 可能没有那么完美 但我在这一局里看见了宗尧生生不息的生命力 总而言之 宗尧伟大 收起d,不违规,,,,,,
6884,"Mrc战队超话
翻照片突然看到了一年前的奇勾…
还记得因为想去线下进白露，刚好那天有mrc的比赛，但是当时对其他的战队一概都不太了解，当时那天是mrc打rd，我印象很深刻的是小迪用调香师遛mhxm的喧嚣差点三跑，深渊八还是个羊喧超强的版本，当时真的被惊艳到了，现场所有人都在喊小迪的名字…其他的不太记得了，希望这次有个好签，深渊加油！ 收起d",不违规,,,,,,
6885,【看22236片天空】这一朵我太喜欢了，之前出去玩拍下来的😭 ​,不违规,,,,,,
6886,今天来打乒乓球，我也在学习新的技术，造车和乒乓球一样，都要不断创新才能进步。在乒乓球技术方面，我也愿意和网友们、球友们多多交流。 L魏建军的微博视频 ​,不违规,,,,,,
6887,哈哈哈哈哈每次我们雅迪的这个公开课我都听得津津有味 ​,不违规,,,,,,
6888,NBA董事会官宣批准：扩军仅限赌城西雅图 每队预计出70-100亿美元,不违规,,1.0,,,,
6889,近期：P1. 晚上快9点的时候路过公司大楼，灯火通明P2-3 在住的地方附近和同事一起吃了牛肉锅，味道还行，但是这家店真的好吵P4 今天出去玩，喝了卡旺卡的徽州酒酿，还不错P5 没忍住赌了，但是出的两个人还都是比较喜欢的P6 落日嘿嘿，今天还担心天气不太行，还好后面又出太阳了 ​,不违规,,,,,,
6890,意媒：苏莱恢复合练，有望国际比赛日过后复出踢国米,不违规,,,,,,
6891,福建第一《毒图入门》基础篇，看似入门实则要命,不违规,,,,,,
6892,离家之前赶紧把花整理出来了，这次贪便宜买的花质量太差了呜呜我只能尽力抢救，好多灰霉的只能赌它不会扩散教训就是能顺丰空运就空运，不要对中通存侥幸心理但是洛神和粉荔枝真的太美了 ​,不违规,,,,,,
6893,【#中国汽车销量终结日本25年连霸#】因为日本是小国，小国没有那么多资源和人才，它只能专心致志于某几个方面，一旦这些传统优势遭到颠覆性革命，它就没有办法调转车头，因为国内所有配套都是为此打造的。比如新能源取代传统化石能源是大势，日本知道但它赌错了方向，而我们可以多方面布局，因为我们有足够的资源，有足够的财力，有足够的人才，我们可以接受不计成本的浪费，日本不能。PS：美国市场不让中国汽车进入，不然销量还能再提高一点。 收起d,不违规,,,,,,
6894,兰州可以做的100件小事清单！！！！,不违规,,,,,,
6895,电讯报：萨拉赫对斯洛特和利物浦生活失望；他很看重足坛地位,不违规,,,,,,
6896,日本插座连接器-日本插座连接器厂家、品牌、图片、热帖-阿里巴巴,不违规,,,,,,
6897,博君一肖超话 💛💛💛#博君一肖# 健康  平安  顺利  幸福  快乐  热爱  挑战  勇气 ​​​ 圆满 ​,不违规,,,,,,
6898,"#蔡依林倒带四万人大合唱#

论《倒带》的杀伤力，不敢想在现场的人会有多想哭🥹

蔡依林长沙演唱会四万人一起大合唱倒带，谁的青春又梦回了，体育场变成一个巨大的露天KTV，那种隔着屏幕都能把人淹没的巨大共鸣感真的太让人感慨了～即使大家人生各不相同，但在这首歌里都藏了各自年少时期的兵荒马乱，好想去现场一起感受一起唱啊！氛围真的太好了！！！ 收起d",不违规,,,,,,
6899,🚨谁看了都说盒子是世界上最好的大吧，而且不仅图上，国内生日大屏应援也有100多个，祝这个马上就二十六岁的仁俊宝宝生日快乐呀 ​,不违规,,,,,,
6900,康胆儿剧里康婆子的大孙子现实里颜值直接开挂逐玉这配角团的颜值又美又亮#逐玉里康婆子的大孙子现实长这样##三分钟视频助燃计划# L星艺零零七的微博视频 ​,不违规,,,,,,
6901,看了一年多，这个真没见过王楚钦孙颖莎 L星光叙影的微博视频 ​,不违规,,,,,,
6902,凯塞多问答：队里最搞笑的是库库；年轻球员的实力最让我惊讶,不违规,,,,,,
6903,第一次晚上在海边踩水和吹风。原来海浪向我打过来的时候这么大声。原来海水真的是咸的，海水还不一定都是蓝色的，余华说“他小时候看书时说海水是蓝色的，但是见到的都是黄色，他要一直游到海水变蓝”。海水可以是各种颜色的，有蓝色，绿色，黄色…海依然海。 ​,不违规,,,,,,
6904,"来自总裁的分享☀
今天学习了《这书能让你戒烟》，作者Allen Carr，英国会计师，33年烟龄、日均100支的重度烟民，1983年靠自己的方法成功戒烟。

1985年出版此书，全球销量超1500万册，帮助数千万人戒烟。

讲3点：

1、尼古丁就是毒品，但是生理上很容易戒断。

尼古丁和海洛因、可卡因本质上同为成瘾性毒品，只是它发作快、消退也快，所以让人一支接一支地陷入循环。

尼古丁会让身体产生空虚、烦躁的不适感，而吸烟不过是暂时缓解这种不适，并非带来真正的快乐。

相比于海洛因、可卡因，尼古丁极其脆弱，只需短短72小时，它就会被彻底排出体外，生理上的毒瘾也会随之消失，它看似难缠，实则轻易就能被“饿死”。

2、被社会洗脑形成的错误认知才是戒烟的真正敌人。

我们总觉得吸烟能解压、能放松、是社交的润滑剂，甚至把戒烟当成一种牺牲和失去，这些根深蒂固的念头，会在饭后、压力大、无聊时跳出来欺骗我们，让我们误以为自己还需要香烟，绝大多数人戒烟失败，并非败给了生理瘾，而是输给了这只看不见的大毒虫——错误认知。

戒烟的关键，从来不是对抗身体，而是戳破大毒虫的谎言，从心底认清吸烟毫无益处。

3、靠意志力戒烟纯属扯淡。

戒烟绝不能靠意志力。以往人们总觉得，戒烟就是硬扛、忍耐，靠强大的意志力压制想抽烟的欲望，可这种方式只会让我们把香烟当成“美好的失去”，越压抑越渴望，最终在疲惫、压力面前彻底崩溃。

靠意志力戒烟，本质是在和自己对抗，注定会疲惫落败。真正有效的戒烟，不需要忍耐、不需要牺牲，而是彻底想通吸烟的骗局，消除对戒烟的恐惧，从“我不能抽”变成“我根本不想抽”，当内心不再被蛊惑，戒烟便成了轻松自然的事。

2026年3月12日 晴 收起d",不违规,,,,,,
6905,我宝祉虽然不玩微博  但每次更新都很有小巧思很有活人感 ​,不违规,,,,,,
6906,劳动节,不违规,,,,,,
6907,对眼睛很好的两天🤍#濮院高定时尚周# #今日甜分# 张天zt超话 ​,不违规,,,,,,
6908,记2026.3.21阿硫婚礼记第一次做伴娘阿硫是我的高中同桌，虽然只是高一的，但整个高中连我分班后的班主任都知道我俩玩的好，隔着4层楼也要碰面聊会天。我时常感慨，命运它自会把合适我的带到我身边，比如我的朋友。反而是我强求的倒不一定如意。在我无知的高中，阿硫带我见识了很多，甚至因为不自己上下学，高中毕业的那个暑假出行还需要她告诉我先坐XXX路公交车，再转XXX路。我们一起坐了三四十小时的火车去银川，她几乎做了全部的攻略，还和大钰带我去看病，回程路上还在便利店留宿了（这段我都忘了），说起来还是觉得好笑。后来她在南京和小车恋爱，再回到杭州工作，其实我俩之间联系很少很少，直到去年才变多了些。在他们7年多的恋爱里，也听到过不愉快的时候，也存在现实的地方，但我始终觉得，他们在相爱中包容彼此，滋养彼此，共同体验新的生活，共同规划未来要怎么更好的继续。也是他们，让我相信契合是在你身边，我可以最放松、最自然、最自信、也最美丽；他们让我在一堆“真心瞬息万变”中，仍然相信只要互相体谅就能够扶持着走下去。我以为我不会哭的，这么高兴的日子，有什么好落泪的呢？可是小车刚开始讲话的时候，我就忍不住了，想起她在遇见小车前的不容易，真好，后来一直有人在好好爱她。也想起我的曾经，感慨时过境迁，也欢喜未来可期，更庆幸身边有一对在好好相爱的榜样情侣，能让我学习借鉴。“结婚不是目的，幸福才是。”这是车大帅在誓词里说的。是的，幸福才是追求的目标。祝阿硫和小车琴瑟和鸣，相守白头。祝我也冷暖有相知，喜乐有分享。祝大家都。祝世界美好。 收起d,不违规,,,,,,
6909,上篮两不沾，最后6秒后场乱扔！NBA最丑陋一场，真有队伍故意输球,不违规,,,,,,
6910,田作之赫超话#田作之赫天作之合# 第一次剪不太熟练可能剪得不太好杯杯们将就着看 L吐司耶耶耶耶耶耶耶Q的微博视频 ​,不违规,,,,,,
6911,惜败活塞！雷迪克解析最后一攻，直指斯玛特重要性，强调保持健康,不违规,,,,,,
6912,塔猜亚是泰国人，已经41岁了，是出了名的140先生，就是斯诺克比赛中147是满分，他经常打到最后一个球的时候紧张，然后打不进，以至于得了一个140先生的称号。不过他刚才在玉山世界公开赛对阵火箭的时候，不仅打了一杆147，还拿了冠军，这也真的是很厉害了。 ​,不违规,,,,,,
6913,肖战超话#肖战的藏海传真的太猛了#xz#肖战藏海传#感谢 肖战 用如此走心的表演塑造藏海，他让这个背负太多的人有了喘息的温柔，也让观众在故事里，找到了久违的感动与力量。#肖战藏海#L肖战工作室的微博视频 ​,不违规,,,,,,
6914,全球高考（自创）,不违规,,,,,,
6915,感觉这个剧还挺真实的值得一看#六旬老太竟是纯爱战士# L范特西粟的微博视频 ​,不违规,,,,,,
6916,【政能量丨从这些“大”事“小”情， 看网上群众工作的云南实践】3月20日，在党的群众路线写入党章70周年之际，网上群众工作大会在昆明云南海埂会堂举行。长期以来，广大网民在人民网留言板给云南省各级领导干部留言，相关部门认真研究、认真回应，一件一件办好，及时解决了群众急难愁盼，得到网民认可和点赞。在这些办结事项中，既有带着民生温度的小事和实事，也有事关群众生命财产安全的大事。一件件、一桩桩，这些“大”事“小”情的背后，是云南让网络成为服务群众的“连心桥”、守护平安的“防火墙”的具体实践。O网页链接 收起d,不违规,,,,,,
6917,一个人打游戏巨无聊 我男的情绪稳定,不违规,,,,,,
6918,虽然现在很难但是我知道好日子要来了我已经不再买盘子碗了首饰买再多也不占地方 而且买不买都行 相当于靠美沙酮戒掉海洛因了搬家以后就是全新的生活 再也不用卖盘子了我又变成文艺青年了 ​,不违规,,,,,,
6919,是夫妻也是战友并肩而立 成为更好的父母 ​,不违规,,,,,1.0,
6920,#余茵曾辉韩雨彤热力先锋演员# 余茵 演复杂人物精准拿捏，甜妹的反差感太绝；演员曾辉THD 在多重身份间横跳，塑造经典手到擒来；[USER] 的坚韧大女主直接戳中人心，热力破圈，短剧舞台因他们更耀眼~#微短剧品质盛典#L东方卫视番茄台的微博视频 ​,不违规,,,,,,
6921,中国空间站将迎来第二次太空会师 数智赋能为发射场插上智慧化翅膀,不违规,,,,,,
6922,家家都有一本难念的经 英超20队都有自己的核心问题 如何解决？,不违规,,,,,,
6923,"肖战超话 藏海传封神——这一则油管海外Reaction视频再再再次证明《藏海传》超高质量、全球传播度和文化影响力
up主是一个对内娱一无所知的人，他偶遇了藏海传，即将看完这部剧。 这就是他要说的：藏海传完美，封神之作，藏海传值得艾美奖（如果有海外奖）

科普： 藏海传是Golded show封神级剧集（简称神剧）
#肖战的藏海传真的太猛了##肖战藏海传# 肖战 收起d",不违规,,,,,,
6924,#2026中超联赛##重庆铜梁龙vs成都蓉城# 重庆反超的一球，韦世豪一脸无奈…… L河与海之声的微博视频 ​,不违规,,,,,,
6925,"【文科：AI时代的真正赢家——从技术逻辑、产业演进与文明进化看黄仁勋论断的现实性】

英伟达创始人黄仁勋曾公开表示，文科将是AI时代的最大赢家。这一论断并非空穴来风，也不是对理科价值的否定，而是基于AI底层运行逻辑、人类产业革命发展规律以及文明进化本质的深刻洞察。在AI技术飞速迭代、人机共生成为常态的今天，我们有足够的理由相信，这一论断正在逐步照进现实，文科的核心价值正在被重新定义、全面激活，成为推动时代发展的核心力量。

从AI的语言逻辑算法来看，文科从来都不是技术的“旁观者”，而是AI得以落地、发挥价值的“核心支撑”。黄仁勋曾强调，语言是AI的终极编程语言，这一观点精准戳中了AI的底层运行本质。我们都知道，AI的核心能力是自然语言理解与生成，无论是我们向AI发出指令、提出需求，还是AI向我们输出结果、提供服务，本质上都是通过语言完成的交互。而这种交互的效率与质量，恰恰取决于我们运用语言的能力，这正是文科长期训练的核心所在。

文科生所具备的语义拆解、逻辑构建、语境感知和修辞表达能力，正是将模糊需求转化为AI可执行指令的关键。比如，同样是让AI撰写一篇文案，有的人只能给出“写一篇推广文案”的模糊指令，得到的结果往往千篇一律、缺乏针对性；而具备文科素养的人，能够精准拆解需求，明确文案的受众、场景、核心卖点和情感导向，用清晰、有逻辑的语言下达指令，最终得到的结果也更符合预期。除此之外，AI虽然擅长处理事实性、重复性的工作，具备强大的计算和逻辑分析能力，但它缺乏人类所拥有的价值判断、情感共鸣、文化洞察和伦理思辨能力。而这些恰恰是文科的优势所在，文科生通过批判性思维、历史视野和哲学思辨，能够纠正AI的偏见、设定AI的伦理边界、赋予技术人文温度，让AI真正成为服务于人类的工具，而非脱离控制的机器。可以说，算法解决的是“如何做”的问题，而文科解决的是“做什么、为何做、为谁做”的核心问题，决定着AI技术的最终价值。

回顾历次产业革命的发展脉络，我们会发现一个清晰的规律：人类的角色始终在随着技术进步，从低层级的执行者向高层级的价值定义者演进，而AI革命正是这一脉络的终极体现，也让文科的价值得到了前所未有的凸显。第一次工业革命，蒸汽机的出现解放了人类的体力劳动，让人类从手工艺者转变为机器操作员，核心能力集中在操作技能和标准化执行上；第二次工业革命，电力和内燃机的应用实现了规模化生产，人类角色升级为技术管理者，需要具备流程设计和系统协调能力；第三次信息革命，计算机和互联网的普及替代了重复性的脑力劳动，人类成为知识工作者，核心能力转向信息处理和逻辑编程。

而到了第四次AI革命，大模型、生成式AI的出现，正在接管常规认知、基础编程、数据分析等“执行层”工作，人类的角色也随之升级为“价值定义者”。这时候，我们不再需要花费大量时间去完成繁琐的执行工作，而是需要去定义目标、校准价值、创造意义，而这些能力，正是文科所擅长的。比如，企业的发展方向、产品的核心价值、品牌的文化内涵，都需要通过语言表达、逻辑构建和价值判断来明确；AI技术的应用场景、伦理边界，也需要通过人文思考来界定。可以说，每一次产业革命都在解放更低层级的劳动，将人类推向更高阶的认知与价值创造，而AI革命所带来的角色转变，恰好让文科能力迎来了属于自己的主场。

从人类文明进化的角度来看，AI时代的到来，正在推动人类从“工具使用者”回归“意义创造者”的本质，而文科正是承载这一使命的核心载体。纵观人类文明的发展历程，前三次产业革命的核心目标是解决物质匮乏问题，让人类摆脱饥饿、贫困，实现物质生活的富足。而AI技术的发展，将进一步提高生产效率，解决认知效率的问题，让人类从繁琐的劳动中彻底解放出来。当物质需求得到充分满足后，人类社会的核心需求，将逐渐转向情感体验、文化认同和价值实现，而这些，正是文科的核心领域。

文学、艺术、哲学、历史等文科领域，不仅是传承文明、记录时代的载体，更是生产意义、构建认同、传递情感的核心力量。在AI时代，我们需要通过文科来对抗技术异化，守护人类的人性本质——技术越强大，越需要人文的制衡与引导，否则人类就可能沦为技术的附庸。文科所提供的伦理框架、价值锚点和共情能力，能够确保AI技术始终服务于人的福祉，而不是反过来威胁人类的生存与发展。同时，文科也是人机协作的重要桥梁，未来的人机共生时代，理科生构建技术骨架，文科生赋予AI灵魂与温度，文科生将成为AI的指挥官、训练师、翻译官和把关人，连接起技术与人类社会，让技术更好地融入生活、服务社会。

如今，黄仁勋的论断已经不再是遥远的预言，而是正在发生的现实。从职场需求来看，越来越多大厂开始疯抢提示词工程师、AI叙事设计师、人文训练师、伦理研究员等岗位，这些岗位的核心要求正是文科所培养的语言表达、价值判断和人文洞察能力，其薪资水平也远高于普通岗位。从教育方向来看，越来越多的学校开始重视人文素养的培养，不再单纯灌输知识，而是注重培养学生的批判性思维、语言逻辑和创新能力。这些变化都在印证，文科的价值正在被市场重新评估，文科正在成为AI时代最具竞争力的领域之一。

需要明确的是，文科成为AI时代的最大赢家，并不是说理科不再重要，而是说人类的价值定位发生了转变，文科的核心能力成为了时代的核心需求。AI是一种放大器，它放大了文科的核心价值，也放大了文理兼修者的综合竞争力。真正的时代赢家，不是单纯的文科生，而是拥有文科能力的人——无论出身文理，只要掌握了语言逻辑、价值判断、创新叙事等核心能力，能够驾驭AI、赋予技术意义，就能在AI时代立足。

综上，从AI的语言逻辑算法、历次产业革命的发展脉络，再到人类文明进化的本质，我们有充分的理由相信，黄仁勋“文科是AI时代最大赢家”的论断必将照进现实。这一论断的背后，是人类价值在AI时代的重新定位，是文科价值的全面觉醒，更是人类文明向更高层次演进的必然趋势。在AI时代，文科不再是“无用之用”，而是“大用之用”，它将引领人类在技术浪潮中，坚守人性本质，创造更有意义、更具温度的未来。

#黄仁勋##文科生洞察力是ai时代的珍贵能力# 收起d",不违规,,,,,,
6926,"谦与千寻超话 2026.3.22记录
排档小记
顾顾今日份排档 4 个
14点档《一程山路》15点档《贝加尔湖畔》《瞄准》16点档《单人券》《泪汪汪》18点档《哎哟喂》《今夜有雨》
辰辰今日份排档 3 个
13点档《日落大道》《安静》14点档《诺》15点档《春风十里》
• 公屏:辰辰今晚见吗？ 顾顾(模拟辰辰音):今晚播一小会~播一小会~
直播小记
顾顾直播
• 直播打个直通先~
• 宣传一下家乡赛打法
• 连线大家长，聊聊家乡赛
• 凑上门，就这样成为代播~
• 明天不用主持了~开心
• 困困的大家长bgm，顾顾放bgm混合好难受，无奈放弃
• 数学真不行·顾谦虚
• 调侃同事一点不像签约
• 被罚挂横幅，拿不到第一剃光头，打pk念叨必须拿下，不然得剃光头了，又说我剃光头应该也挺好看的
• 嗓子有点虚弱
• 恭喜顾谦虚直通家乡赛半决赛，保住了头发
• 🐳🐬傻傻分不清楚
• 姐姐20级留言，质疑姐姐是可以写出来的么，怀疑是豆包写的
• 又蛐蛐姐姐20级还社恐不敢点歌
• 嗓子还是哑哑的不舒服，可能是昨天喊的
• 找个喊麦，烧烧的，基本上这种类型都是这样的，可以学学
• 试唱 喊麦 （好低 ）嗓子有点哑，压不住
• 试唱 喊麦 <想送姐姐花>
• 明天中午看看要不要玩个游戏啥的
• 买了个手环没国补退了，回头再看看
• 不知道星光集结季活动给米，有个头像框，直接发后台么。顾顾:我看看，也木有啊，意思是你们看广告，收益是我的么？
• （公屏）“人脉老师，隔壁今晚播么”顾顾:今天和我说的是八九点左右播一会，具体就不知道了
• 没找到兑换啊，不会吞了吧，不要啊，不要啊～是不是要明天才有
• 8点直通赛太牛了~开始做梦梦自己量级
• 连下同事关心一下直通
• 和大主播直通并排，特地截图，实力可见一斑，孩子开始扬巴，和大主播商量一下，让给他了，口嗨型主播
• 明天中午就玩上次那个恐怖游戏，找一下我的同担
• 开始研究洛克王国靓号价格，震惊
• 找同事显摆直通赛隔壁大主播
• 不知不觉就唠神嗑
• 一个表情包带宝箱，一个32号发工资再来
• 突然比起了表情包
• 知道屁桃的主播，下播前放一下烟花
辰辰直播
• 好久没开播，甚是想念
• 没有感冒，是嗓子不太舒服
• 没有吃药，休息一下就好了
• 没啥干劲，加上嗓子不舒服就想休息~
• 今年还没去体检呢~下个月再去吧
• 明晚播么？能播就播，不能就休息
• 今天推小电驴去修，听说要涨价了(油费)，即将重启小电驴出门
• 又要下一个星期雨，有点烦，想出门都没地方去了
• 打着小哈欠，累累嘟，但还是让姐姐们有时间挂牌子
• 好好休息去了~ 收起d",不违规,,,,,,
6927,【海之南丨我和博鳌一起长大】今年是#博鳌亚洲论坛#成立25周年。25年，对于一个人，意味着从呱呱坠地到风华正茂。而对于博鳌而言，则是一段从渔村成长为亚洲乃至世界瞩目对话平台的历程。记者同小镇上的人们对话，从中看到成长的脉络、发展的足迹，也听见团结的声音、热切的盼望。年会开幕在即，让我们共同开始新的旅程。#海南##海之南# L人民网海南频道的微博视频 收起d,不违规,,,,,,
6928,穆勒：若纳帅叫我回归那他一定是疯了；世界杯更看好西班牙,不违规,,,,,,
6929,黄蜂刮中绝世彩票！探花郎狂飙250记三分创NBA最年轻纪录,不违规,,,,,,
6930,用emoji形式解锁🔓杭州必吃必玩榜 🍃🏯🍜,不违规,,1.0,,,,
6931,这个小红帽好甜哦！！ ​,不违规,,,,,,
6932,忙活一天 ​,不违规,,,,,,
6933,我还挺喜欢关于法律上的东西耶，自己能学得进去，虽然时间都被排满了，也不影响兴趣爱好，基本每节课都能吸收，能听得懂，就差一本民法典的书籍了，可以考虑入手买本来跟着老师课程用空余时间学接收能力这块满分，就跟读书时一样，一整天上不同内容的五节课……只是多了白天需要上八小时的班，晚上才空闲下来。 收起d,不违规,,,,,,
6934,五一劳动节小挖机帮妈妈擦玻璃，启蒙早教儿童益智动画 #儿童动 #儿童动画  #益智动画  #汪汪队  #汪汪队立大功  #工程车玩具,不违规,,,,,,
6935,真是光阴似箭，岁月如梭呐！这学期第一次开组会，晚上打开组会ppt打算做发现上一次汇报时间竟然写着：1月25这个寒假放了两个月！【果然快乐的日子总是让人觉得短暂，真是一点感觉都没有，两个月！】如果一直这样上学的话，我是愿意读的快乐的都想读个博（什么混账话！）——只玩的话这个学期的假期也是让人充满期待谁懂每天都在市里，三天吃两顿胡辣汤的快乐 收起d,不违规,,,,,,
6936,小杰好可爱……录视频笑场笑出画面 再次出现已是萌萌正经脸 （录一个视频鞠两次躬 孩子怪客气的hhhh ​,不违规,,,,,,
6937,"#SWim进行时#
『10125』
20260322 中国游泳公开赛
男子200m个人混合泳决赛赛后采访

欢迎回来享受纯粹的泳池🌊

🐰：我在那边坐着的时候，包括在检录处的时候，我就感觉，我怎么又坐在这里了？感觉很恍惚。但感觉好像又是真实存在的感受。

🎤：重新回到赛场感觉怎么样
🐰：感觉非常棒。其实在之前可能全会结束到现在，3到4个月，4个多月的时间里，我也去感受了不一样的生活跟体验。我感觉好像不太适合我。反过头来在这个时间内，也去自我的想了一想，我到底追求什么？自己想要什么？

我觉得还是希望能够坚持去做一件事情，把事情做好，通过这样的方式能够让我找到自己存在的意义，也可以说是能够，起码当有一天回过头来再去看的时候，挺为自己自豪的。

🎤：再重新回到这里的时候，对游泳，对比赛有不一样的理解？
🐰：我觉得更能放下一些什么东西，去纯粹的去感受或者享受一些什么。这个我觉得是对我来说非常重要的。

🎤：距离亚运会开幕还有半年左右的时间，其实是不到六个，你想好了吗？
🐰：其实对我来说为什么一定要来参加比赛？我也可以选择不来。但是我觉得这个比赛能够给我，在这一年充当一个起点的角色，不得不逼着我自己投入到训练中。我是以这样的方式跟想法，让自己参加到比赛来。希望在这个时候把训练补上。

🎤：所以起点是通向哪里的？
🐰：先通向亚运会。

🎤：还会有亚运会之后更长远的目标吗？现在有规划或者是有想法吗？
🐰：现在没去想嘛。先把这一站的比好，我想接下来的下一站，一定就是杭州的冠军赛。也希望大家到时候到上一届亚运会的场馆去看一看。去感受一下，希望在那个时候会有比今天更好的一个表现。

🎤：欢迎回来
🐰：谢谢

cr微博正文
#汪顺亚军##2026年中国游泳公开赛# L两眼一睁就是下水的微博视频 收起d",不违规,,,,,,
6938,布克：多特和我第一次接触是一月底；会尽可能找市场上的珍珠,不违规,,,,,,
6939,死亡离别是无解的命题村子里一个很好的姥姥去了天堂，一定是天堂，自从上高中以后回家的次数越来越少，跟这个姥姥一年能见到一回，自打我有记忆起，村子里修路，我穿着破洞的线衣在正在修的水泥路上玩，被这个姥姥看到了，她回家拿了一套新的三层保暖线衣给我穿，我现在还记得那是一个黄色的印着小熊的衣服，特别暖和舒服，那时候我可能六七岁，我很喜欢去她家玩，她家的玩具都很新颖，我从来没见过，长大的这几年，每次回家都能碰到姥姥来给我家送好吃的，永远都是蹬着一辆小三轮车，三轮车越来越旧，姥姥的背影也越来越小，这几年回家听说姥姥身体一直不太好，听了很难过，今天听到她离世的消息，祈祷姥姥下辈子幸福健康，南无阿弥陀佛 收起d,不违规,,,,,,
